time,b,se,variable,skill,pais,desagregacion,detalle_indicador
-5,9.4985733,3.7608147,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
-4,6.4360085,3.6289072,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
-3,2.5222514,3.5594287,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
-1,-4.5284839,3.5882399,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
0,-87.166481,15.770256,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
1,-57.034195,15.40405,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
2,-37.896297,17.961798,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
3,-33.815327,26.380959,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
4,-54.367493,19.636223,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
5,-51.729599,21.469074,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
6,-48.417305,25.750938,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
7,-71.586632,26.287951,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
8,-59.191711,30.182827,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
9,-49.432194,35.830563,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
10,-72.254997,39.337299,Ingreso laboral,high,URY,Nivel educativo,Ingreso laboral total
-5,64.712212,52.03294,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
-4,37.933994,52.902321,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
-3,16.486275,46.176826,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
-1,5.9688067,51.874855,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
0,-122.0751,108.4332,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
1,-58.773388,316.86307,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
2,-89.822701,119.70068,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
3,-126.46056,157.43538,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
4,-135.7506,138.04797,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
5,-183.15051,170.70865,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
6,-159.96577,231.60744,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
7,-151.96744,183.44225,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
8,-202.83127,195.86943,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
9,-215.48592,245.48958,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
10,-83.942421,262.1817,Ingreso laboral,high,PRY,Nivel educativo,Ingreso laboral total
-5,21.259497,66.106964,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
-4,35.564213,60.464916,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
-3,35.643047,56.461651,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
-1,-62.504639,50.540676,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
0,-302.07437,70.155937,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
1,-182.04271,87.558762,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
2,-203.99219,79.61721,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
3,-267.97198,87.784393,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
4,-163.59489,93.360847,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
5,-209.61191,95.121048,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
6,-188.00108,134.30302,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
7,-286.81302,104.24746,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
8,-291.79279,122.97311,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
9,-278.63281,133.3873,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
10,-316.2309,134.76292,Ingreso laboral,high,PER,Nivel educativo,Ingreso laboral total
-5,-11.844666,42.591492,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
-4,-21.190861,39.222393,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
-3,-20.909769,39.421173,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
-1,-51.069221,37.16185,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
0,-177.16066,96.058983,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
1,-167.44872,104.34472,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
2,-198.61438,102.49442,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
3,-200.30252,100.87649,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
4,-168.62289,126.16033,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
5,-219.60043,147.94925,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
6,-281.60202,130.87862,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
7,-252.85777,154.67169,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
8,-317.4425,174.11398,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
9,-463.93542,155.01019,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
10,-219.57849,232.52029,Ingreso laboral,high,PAN,Nivel educativo,Ingreso laboral total
-5,-2.3568707,5.307827,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
-4,-1.7250061,4.8872275,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
-3,3.9884229,4.59654,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
-1,-3.2008133,4.3478918,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
0,-149.63348,12.23388,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
1,-141.7361,12.501767,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
2,-148.03191,12.306227,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
3,-149.17085,12.874537,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
4,-168.64569,13.539693,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
5,-153.78503,14.15242,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
6,-162.91618,15.421624,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
7,-183.26624,16.267317,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
8,-180.8521,18.86372,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
9,-175.22723,20.456795,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
10,-204.47296,23.712168,Ingreso laboral,high,MEX,Nivel educativo,Ingreso laboral total
-5,-16.531132,52.745743,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
-4,-22.047935,48.157547,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
-3,-27.214958,44.46151,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
-1,-84.291359,40.866146,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
0,-253.62531,77.487099,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
1,-258.83975,82.293045,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
2,-243.27414,85.381226,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
3,-249.20186,87.592735,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
4,-222.10045,91.102699,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
5,-237.44264,139.91988,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
6,-238.18599,234.22728,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
7,-387.8443,103.88199,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
8,-317.21835,127.44751,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
9,-422.51404,155.92145,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
10,-414.34286,211.93073,Ingreso laboral,high,ECU,Nivel educativo,Ingreso laboral total
-5,41.964939,58.499451,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
-4,20.812746,53.873837,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
